
@RELATION dataset
 
@ATTRIBUTE m1 REAL
@ATTRIBUTE m2 REAL
@ATTRIBUTE m3 REAL
@ATTRIBUTE m4 REAL
@ATTRIBUTE m5 REAL
@ATTRIBUTE m6 REAL
@ATTRIBUTE m7 REAL
@ATTRIBUTE m8 REAL
@ATTRIBUTE m9 REAL
@ATTRIBUTE m10 REAL
@ATTRIBUTE m11 REAL
@ATTRIBUTE m12 REAL
@ATTRIBUTE m13 REAL
@ATTRIBUTE m14 REAL
@ATTRIBUTE m15 REAL
@ATTRIBUTE m16 REAL
@ATTRIBUTE m17 REAL
@ATTRIBUTE m18 REAL
@ATTRIBUTE m19 REAL
@ATTRIBUTE m20 REAL
@ATTRIBUTE m21 REAL
@ATTRIBUTE m22 REAL
@ATTRIBUTE m23 REAL
@ATTRIBUTE m24 REAL
@ATTRIBUTE m25 REAL
@ATTRIBUTE m26 REAL
@ATTRIBUTE m27 REAL
@ATTRIBUTE m28 REAL
@ATTRIBUTE m29 REAL
@ATTRIBUTE m30 REAL
@ATTRIBUTE m31 REAL
@ATTRIBUTE m32 REAL
@ATTRIBUTE m33 REAL
@ATTRIBUTE m34 REAL
@ATTRIBUTE m35 REAL
@ATTRIBUTE m36 REAL
@ATTRIBUTE m37 REAL
@ATTRIBUTE m38 REAL
@ATTRIBUTE m39 REAL
@ATTRIBUTE m40 REAL
@ATTRIBUTE m41 REAL
@ATTRIBUTE m42 REAL
@ATTRIBUTE m43 REAL
@ATTRIBUTE m44 REAL
@ATTRIBUTE m45 REAL
@ATTRIBUTE m46 REAL
@ATTRIBUTE m47 REAL
@ATTRIBUTE m48 REAL
@ATTRIBUTE m49 REAL
@ATTRIBUTE m50 REAL
@ATTRIBUTE m51 REAL
@ATTRIBUTE m52 REAL
@ATTRIBUTE m53 REAL
@ATTRIBUTE m54 REAL
@ATTRIBUTE m55 REAL
@ATTRIBUTE m56 REAL
@ATTRIBUTE m57 REAL
@ATTRIBUTE m58 REAL
@ATTRIBUTE m59 REAL
@ATTRIBUTE m60 REAL
@ATTRIBUTE m61 REAL
@ATTRIBUTE m62 REAL
@ATTRIBUTE m63 REAL
@ATTRIBUTE m64 REAL
@ATTRIBUTE m65 REAL
@ATTRIBUTE m66 REAL
@ATTRIBUTE m67 REAL
@ATTRIBUTE m68 REAL
@ATTRIBUTE m69 REAL
@ATTRIBUTE m70 REAL
@ATTRIBUTE m71 REAL
@ATTRIBUTE m72 REAL
@ATTRIBUTE m73 REAL
@ATTRIBUTE m74 REAL
@ATTRIBUTE m75 REAL
@ATTRIBUTE m76 REAL
@ATTRIBUTE m77 REAL
@ATTRIBUTE m78 REAL
@ATTRIBUTE m79 REAL
@ATTRIBUTE m80 REAL
@ATTRIBUTE m81 REAL
@ATTRIBUTE m82 REAL
@ATTRIBUTE m83 REAL
@ATTRIBUTE m84 REAL
@ATTRIBUTE m85 REAL
@ATTRIBUTE m86 REAL
@ATTRIBUTE m87 REAL
@ATTRIBUTE m88 REAL
@ATTRIBUTE m89 REAL
@ATTRIBUTE m90 REAL
@ATTRIBUTE m91 REAL
@ATTRIBUTE m92 REAL
@ATTRIBUTE m93 REAL
@ATTRIBUTE m94 REAL
@ATTRIBUTE m95 REAL
@ATTRIBUTE m96 REAL
@ATTRIBUTE m97 REAL
@ATTRIBUTE m98 REAL
@ATTRIBUTE m99 REAL
@ATTRIBUTE m100 REAL
@ATTRIBUTE class {Elk,Deer,Cattle}
 
@DATA
0.05626,0.06561,0.03652,0.03941,0.02178,0.06057,0.00327,0.01959,0.01875,0.07112,0.02605,0.06154,0.04747,0.02386,0.02077,0.03941,0.02234,0.00787,0.02026,0.03076,0.01886,0.00876,0.06425,0.00965,0.06845,0.05847,0.02659,0.01482,0.0705,0.01806,0.00891,0.05495,0.01436,0.06023,0.00614,0.07928,0.01355,0.00951,0.02886,0.007,0.00259,0.01769,0.07156,0.04246,0.0525,0.02246,0.00324,0.02034,0.01869,0.01248,0.01564,0.01518,0.05022,0.01149,0.01684,0.0189,0.0479,0.0471,0.01766,0.03472,0.06056,0.02176,0.03185,0.06126,0.06224,0.02616,0.06763,0.01139,0.01455,0.03776,0.0172,0.05078,0.02179,0.02144,0.04216,0.01567,0.0703,0.03084,0.00478,0.04978,0.0305,0.01346,0.01797,0.05032,0.06015,0.04422,0.01318,0.03954,0.01051,0.03351,0.05995,0.016,0.02268,0.02118,0.01457,0.02798,0.0353,0.03235,0.03328,0.0483,Deer
0.00523,0.01201,0.01527,0.01589,0.03936,0.01469,0.02817,0.01085,0.03237,0.02102,0.04032,0.01137,0.00898,0.0029,0.02608,0.01589,0.0187,0.02401,0.02267,0.04502,0.01049,0.00825,0.00952,0.02028,0.01581,0.01545,0.00015,0.01823,0.02172,0.03626,0.0045,0.00757,0.01507,0.01067,0.02001,0.02121,0.02517,0.02888,0.01127,0.01613,0.01848,0.01518,0.02139,0.0134,0.01024,0.03394,0.01076,0.012,0.02714,0.02095,0.02263,0.02614,0.00256,0.02022,0.01703,0.0276,0.00699,0.00086,0.01493,0.00467,0.00613,0.01668,0.0098,0.01782,0.02073,0.04806,0.02465,0.02065,0.02541,0.01351,0.01818,0.01086,0.04145,0.03425,0.00966,0.0166,0.01562,0.04469,0.02713,0.00141,0.01553,0.01338,0.02672,0.00798,0.01624,0.01006,0.02446,0.0096,0.01294,0.01703,0.00438,0.0193,0.04407,0.03815,0.02687,0.01168,0.01128,0.00967,0.00989,0.00913,Elk
0.00368,0.00543,0.01246,0.01367,0.03479,0.01542,0.03047,0.01431,0.02571,0.0104,0.03447,0.0084,0.01315,0.00151,0.01936,0.01367,0.01439,0.03296,0.01752,0.04099,0.02912,0.00233,0.0058,0.01078,0.01588,0.02313,0.00067,0.01247,0.01128,0.03163,0.00121,0.00734,0.00916,0.01017,0.01435,0.01472,0.01864,0.02514,0.01066,0.00795,0.02484,0.01115,0.01078,0.01418,0.00408,0.02888,0.02407,0.00797,0.0231,0.01971,0.01773,0.01943,0,0.01604,0.01314,0.02141,0.01107,0.00181,0.01129,0.00655,0.00653,0.01083,0.02013,0.02205,0.02538,0.04311,0.02662,0.01778,0.02126,0.0146,0.01464,0.01148,0.03729,0.02493,0.00819,0.01212,0.00592,0.04032,0.02886,0.00243,0.02728,0.00625,0.02157,0.01394,0.0179,0.01083,0.02009,0.01114,0.00751,0.01532,0.00447,0.01451,0.0402,0.03364,0.02165,0.01283,0.00947,0.01843,0.01187,0.0131,Elk
0.01858,0.03061,0.00834,0.00434,0.02706,0.01271,0.02371,0.01001,0.02222,0.04094,0.03016,0.02994,0.007,0.00709,0.01395,0.00434,0.00979,0.01892,0.00996,0.03175,0,0.00213,0.02696,0.00559,0.01614,0.00904,0.00599,0.00926,0.04142,0.02492,0.00062,0.02454,0.00745,0.0293,0.01052,0.02954,0.01594,0.02185,0.00604,0.00593,0.01587,0.00827,0.04147,0.02042,0.02195,0.0195,0.01637,0.00639,0.01648,0.01607,0.01248,0.01542,0.01081,0.01376,0.01,0.01706,0.00505,0.0146,0.00821,0.00437,0.02191,0.00769,0.01389,0.01019,0.01006,0.03547,0.01546,0.01476,0.01687,0.01538,0.01015,0.02584,0.02998,0.01828,0.01198,0.01032,0.03723,0.03163,0.02328,0.01539,0.01318,0.00556,0.01493,0.00377,0.00751,0.00753,0.01561,0.00353,0.00394,0.00973,0.01424,0.0111,0.03294,0.02587,0.01623,0,0.00524,0.0128,0.00308,0.00489,Elk
0.0541,0.06341,0.03523,0.03827,0.02287,0.05843,0.00361,0.01748,0.01819,0.06918,0.02719,0.0595,0.04539,0.02244,0.01988,0.03827,0.01929,0.00718,0.01868,0.03177,0.01703,0.00541,0.062,0.00759,0.06639,0.05664,0.02526,0.01348,0.06854,0.01862,0.00755,0.05293,0.01271,0.05818,0.00494,0.07708,0.01233,0.00986,0.0277,0.00518,0,0.01658,0.0696,0.0404,0.05164,0.02143,0.00336,0.01888,0.01778,0.01101,0.01423,0.01399,0.04811,0.00978,0.0149,0.0179,0.04587,0.04551,0.01652,0.03294,0.05858,0.02,0.02976,0.0594,0.06029,0.02864,0.06557,0.00957,0.01283,0.03567,0.01534,0.04878,0.02349,0.0223,0.04006,0.01421,0.06826,0.03183,0.00515,0.04766,0.02864,0.01091,0.01692,0.04829,0.05812,0.04236,0.01179,0.03774,0.00944,0.03306,0.05778,0.01419,0.02524,0.02206,0.01366,0.02779,0.03431,0.03037,0.03099,0.04631,Deer
0.01873,0.03173,0.01961,0.02117,0.03387,0.01778,0.01987,0.01103,0.02323,0.04139,0.03095,0.03112,0.00867,0.00527,0.02282,0.02117,0.01214,0.01934,0.02146,0.04153,0.01027,0.00101,0.02829,0.00477,0.02643,0.01989,0.0051,0.01364,0.04191,0.02982,0.00291,0.02476,0.00784,0.0298,0.00708,0.03773,0.01832,0.0229,0.01772,0.00335,0.01324,0.01464,0.04202,0.02159,0.02356,0.02964,0.00663,0.01257,0.02414,0.02011,0.01888,0.0196,0.01254,0.01367,0.0173,0.02041,0.0095,0.01349,0.01505,0.00405,0.02337,0.01697,0.01689,0.02239,0.0222,0.04117,0.02667,0.01683,0.02228,0.01342,0.01854,0.02599,0.03532,0.02033,0.01348,0.01555,0.03877,0.04089,0.01768,0.01881,0.01426,0.00434,0.0229,0.01151,0.01874,0.01534,0.01995,0.00827,0.00759,0.02012,0.01937,0.01735,0.03792,0.03275,0.02137,0.01842,0.01417,0.01171,0.01745,0.01241,Elk
0.01596,0.01776,0.01436,0.01538,0.03008,0.02748,0.0361,0.01352,0.02487,0.02167,0.0318,0.01293,0.01924,0.0003,0.01694,0.01538,0.01053,0.03259,0.01479,0.03233,0.01434,0.0068,0.01763,0.01893,0.03251,0.03088,0.00142,0.01978,0.02107,0.02893,0.0051,0.0075,0.01543,0.01159,0.02203,0.03836,0.0214,0.02772,0.01099,0.01941,0.02706,0.01659,0.0221,0.00491,0.01056,0.02218,0.02581,0.01322,0.02122,0.02183,0.01877,0.01992,0.01271,0.02174,0.01621,0.01984,0.01919,0.01217,0.01662,0.00822,0.01676,0.01351,0,0.03317,0.03501,0.03801,0.03878,0.02165,0.02316,0.00781,0.01728,0.0029,0.03306,0.02723,0.00667,0.01833,0.02123,0.03152,0.03535,0.00592,0.00963,0.01344,0.01897,0.02132,0.02974,0.01738,0.02175,0.01375,0.0141,0.02144,0.02105,0.01821,0.03609,0.02908,0.02176,0.01564,0.01252,0.00831,0.01127,0.01927,Elk
0.00859,0.02165,0.01394,0.01016,0.04701,0.00981,0.04476,0.02511,0.03879,0.03207,0.04628,0.02079,0.00617,0.00625,0.03149,0.01016,0.02032,0.04523,0.02882,0.05095,0.03371,0.0093,0.01884,0.02397,0.01336,0.00982,0.00382,0.02573,0.03249,0.04447,0.00562,0.01733,0.02202,0.02203,0.02897,0.01843,0.03257,0.0393,0.01377,0.0216,0.03682,0.02299,0.03255,0.01577,0.01812,0.0393,0.03376,0.01883,0.03483,0.03283,0.03091,0.03265,0.0052,0.03114,0.02507,0.0339,0.0061,0.00892,0.02304,0.00641,0.0155,0.02132,0.01967,0.00994,0.01128,0.05519,0.01492,0.03141,0.03448,0.0123,0.02691,0.01911,0.04983,0.03723,0.00822,0.02565,0.02713,0.05025,0.04238,0.01001,0.02606,0.01659,0.03448,0.0062,0.00745,0.01016,0.03367,0.01211,0.01598,0.01601,0.00633,0.02753,0.05259,0.04578,0.03509,0.0166,0.0049,0.0164,0.00536,0.00589,Elk
0.00644,0.01087,0.04081,0.04106,0.06451,0.01319,0.04303,0.02103,0.05709,0.01872,0.06635,0.00887,0.01394,0.00157,0.05032,0.04106,0.03869,0.03793,0.04878,0.07204,0.0207,0.01156,0.00933,0.03883,0.01458,0.02358,0.00081,0.03899,0.02019,0.06068,0.00644,0.00761,0.03804,0.01192,0.03864,0.01269,0.04741,0.05116,0.03958,0.03147,0.03273,0.03835,0.0191,0.00941,0.00925,0.05923,0.02838,0.03605,0.05314,0.04394,0.04756,0.05001,0.004,0.04187,0.04148,0.05386,0.0123,0.00158,0.0384,0.01113,0.00784,0.03979,0.00647,0.02079,0.02369,0.07205,0.02616,0.04329,0.04956,0.00823,0.0436,0.01129,0.06629,0.05281,0.00561,0.03949,0.0135,0.07152,0.04147,0.00486,0.01621,0.03249,0.05227,0.01435,0.01637,0.02085,0.04853,0.02058,0.02727,0.03675,0.005,0.0433,0.06858,0.06339,0.05111,0.03536,0.02837,0.01024,0.03167,0.01483,Elk
0.02434,0.03756,0.00847,0.00227,0.03357,0.02003,0.02969,0.0098,0.02356,0.04801,0.03134,0.03644,0.00864,0.0104,0.0196,0.00227,0.0128,0.03137,0.0171,0.03949,0.02334,0.00394,0.03417,0.00829,0.0294,0.01887,0.01004,0.01485,0.04827,0.03068,0.00365,0.03137,0.0095,0.03609,0.01285,0.04067,0.01932,0.02502,0.01149,0.00494,0.02399,0.01384,0.04848,0.0255,0.0288,0.02858,0.0197,0.01109,0.02182,0.01943,0.01801,0.01867,0.01657,0.01557,0.01397,0.01989,0.00836,0.01727,0.01388,0.0044,0.02914,0.01128,0.01969,0.02092,0.02223,0.04234,0.02596,0.01777,0.0214,0.01862,0.01588,0.03216,0.03584,0.02086,0.01651,0.01376,0.04401,0.0388,0.02911,0.02365,0.02817,0.00822,0.02067,0.00934,0.0177,0.00854,0.0197,0.00564,0.00986,0.01318,0.02246,0.01604,0.03864,0.03238,0.02109,0.01304,0.00377,0.01369,0.00317,0.0078,Elk
0.01385,0.0053,0.06824,0.06877,0.09359,0.02712,0.06655,0.04674,0.08537,0.01079,0.09464,0.00403,0.03226,0.00562,0.08007,0.06877,0.07062,0.05854,0.07883,0.10157,0.04047,0.03892,0,0.06693,0.02481,0.03904,0.00348,0.06826,0.01012,0.08946,0.03316,0.00811,0.06642,0.00615,0.06634,0.02092,0.07643,0.07944,0.06928,0.0608,0.0572,0.0681,0.01083,0.01809,0.00212,0.08832,0.0519,0.06571,0.083,0.07283,0.07727,0.07933,0.0191,0.07093,0.07167,0.0824,0.02998,0.00241,0.06814,0.03484,0,0.06955,0.02899,0.036,0.03936,0.10034,0.03986,0.07241,0.07882,0.02689,0.07359,0.00872,0.09506,0.08229,0.02351,0.06934,0.00787,0.10122,0.06563,0.00988,0.02878,0.06182,0.08206,0.03222,0.03109,0.03872,0.07783,0.04508,0.05655,0.06602,0.01546,0.07296,0.09702,0.09253,0.08043,0.06543,0.05315,0.036,0.05479,0.03306,Deer
0.01868,0.0318,0.00901,0.00386,0.0454,0.01142,0.04583,0.02487,0.03849,0.04212,0.04682,0.03189,0.01163,0.01241,0.02953,0.00386,0.02339,0.04757,0.02756,0.04935,0.03941,0.01194,0.02768,0.02817,0.0127,0.01153,0.01001,0.02687,0.04294,0.04349,0.00933,0.02922,0.02379,0.03214,0.03143,0.01929,0.03208,0.03948,0.01387,0.0266,0.03914,0.02392,0.0426,0.02987,0.02604,0.03719,0.03744,0.01974,0.03444,0.03366,0.03025,0.03264,0.01485,0.03077,0.0258,0.03341,0.01114,0.01232,0.02397,0.01112,0.02274,0.02017,0.03255,0.00929,0.01042,0.05341,0.0087,0.03171,0.03448,0.02579,0.02707,0.03273,0.04845,0.03998,0.02181,0.02616,0.03691,0.04905,0.04505,0.02265,0.04057,0.02069,0.03304,0.00945,0.00461,0.00868,0.0335,0.00971,0.02153,0.01382,0.01261,0.02742,0.05151,0.04424,0.03429,0.01494,0.00494,0.02525,0.00336,0.01099,Elk
